Vehiculo,Hora,T_espera(s),T_estancia(s)
Vehiculo 3,00:30:27,2.0,3.0
Vehiculo 5,00:30:28,4.0,2.0
Vehiculo 4,00:30:29,1.0,6.0
Vehiculo 1,00:30:30,3.0,5.0
Vehiculo 2,00:30:30,3.0,5.0
Vehiculo 12,00:30:35,1.0,2.0
Vehiculo 11,00:30:36,1.0,3.0
Vehiculo 10,00:30:37,1.0,4.0
Vehiculo 9,00:30:38,1.0,5.0
Vehiculo 15,00:30:38,2.55,3.0
Vehiculo 13,00:30:40,1.0,6.0
Vehiculo 7,00:30:42,4.61,6.0
Vehiculo 14,00:30:43,4.38,6.0
Vehiculo 8,00:30:44,7.78,4.0
Vehiculo 16,00:30:44,4.96,6.0
Vehiculo 6,00:30:44,6.92,6.0
